rank,company
765,Hovnanian Enterprises
766,TrueBlue
767,Crane
768,ServiceMaster Global Holdings
769,Sinclair Broadcast Group
770,Mutual of America Life Insurance
771,BGC Partners
772,DSW
773,Intuitive Surgical
774,ArcBest
775,PC Connection
776,A.O. Smith
777,Greenbrier Cos.
778,Great Plains Energy
779,Bon-Ton Stores
780,Dycom Industries
781,Timken
782,Aleris
783,Legg Mason
784,Hill-Rom Holdings
785,Stifel Financial
786,Verso
787,Qorvo
788,Ciena
789,Tetra Tech
790,Caleres
791,Pool
792,Hyster-Yale Materials Handling
793,Westar Energy
794,Public Storage
795,Plexus
796,Boston Properties
797,GNC Holdings
798,HCP
799,Penn Mutual Life Insurance
800,TTM Technologies
801,Prologis
802,Twitter
803,Kemper
804,Valmont Industries
805,Crestwood Equity Partners
806,Applied Industrial Technologies
807,VCA
808,Granite Construction
809,Vornado Realty Trust
810,Mettler-Toledo International
811,A. Schulman
812,Wolverine World Wide
813,Graham Holdings
814,Chico's FAS
815,Domino's Pizza
816,Zions Bancorp.
817,Southwest Gas Holdings
818,Tops Holding
819,Hawaiian Holdings
820,Vectren
821,Gartner
822,On Assignment
823,Southwestern Energy
824,Parexel International
825,Equity Residential
826,J.Crew Group
827,Synopsys
828,Moog
829,Cabot
830,ITT
831,TRI Pointe Group
832,Maximus
833,Illumina
834,Amica Mutual Insurance
835,Alere
836,Toro
837,Sprague Resources
838,G-III Apparel Group
839,Hawaiian Electric Industries
840,Pinnacle Entertainment
841,Columbia Sportswear
842,First Republic Bank
843,Komatsu Mining
844,Trimble
845,Edgewell Personal Care
846,Belden
847,DST Systems
848,WGL Holdings
849,GGP
850,Brocade Communications Systems
851,Akamai Technologies
852,Nationstar Mortgage Holdings
853,Annaly Capital Management
854,Kansas City Southern
855,Revlon
856,AptarGroup
857,MDC Holdings
858,Vishay Intertechnology
859,Teradata
860,Spirit Airlines
861,EnerSys
862,Snyder's-Lance
863,Benchmark Electronics
864,West
865,Selective Insurance Group
866,Party City Holdco
867,Cheesecake Factory
868,Lincoln Electric Holdings
869,Carlyle Group
870,Enable Midstream Partners
871,Oceaneering International
872,Vista Outdoor
873,Middleby
874,Herman Miller
875,PerkinElmer
876,OGE Energy
877,PCM
