company,source,job_type_1,job_type_2,job_type_3,job_type_4,job_type_5,job_type_6,job_type_7,job_type_8
Beazer Homes USA,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
New York Community Bancorp,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Cadence Design Systems,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Carpenter Technology,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Marriott Vacations Worldwide,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
FTI Consulting,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Nordson,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Briggs & Stratton,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Kaman,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Overstock,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Regis,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Bridgewater Associates,hedge,quant,data_science,stats,mba,law,consultant,petroleum_geologist,chemical_engineer
AQR,hedge,quant,data_science,stats,mba,law,consultant,petroleum_geologist,chemical_engineer
J PMorgan,hedge,quant,data_science,stats,mba,law,consultant,petroleum_geologist,chemical_engineer
Renaissance Technologies,hedge,quant,data_science,stats,mba,law,consultant,petroleum_geologist,chemical_engineer
Two Sigma,hedge,quant,data_science,stats,mba,law,consultant,petroleum_geologist,chemical_engineer
DEShaw,hedge,quant,data_science,stats,mba,law,consultant,petroleum_geologist,chemical_engineer
Millennium,hedge,quant,data_science,stats,mba,law,consultant,petroleum_geologist,chemical_engineer
Man,hedge,quant,data_science,stats,mba,law,consultant,petroleum_geologist,chemical_engineer
