cid,list_id,company,position,office,office_state,job_type,file_rank
c0631,ru_KEYW,Keyw,Data Scientist,Hanover,MD,data_science,2
c0632,ru_KN,Knowles,Civil Engineering Project Manager,Delmont,PA,mba,2
c0633,ru_KRC,Kilroy Realty,IT Project Manager and Business Systems Analyst,Los Angeles,CA,mba,2
c0634,ru_KWR,Quaker Chemical,IT Project Manager,Conshohocken,PA,mba,2
c0635,ru_LC,Lendingclub,Principal Data Scientist,San Francisco,CA,data_science,2
c0636,ru_LCI,Lannett,Contract Manufacturing Program Manager,Philadelphia,PA,mba,2
c0637,ru_LCUT,Lifetime Brands,Assistant Product Manager Cutlery,Garden City,NY,mba,2
c0638,ru_LFGR,Leaf,Manager - Engineering - Media Product & Engineering,Los Angeles,CA,computer_science,2
c0639,ru_LHCG,LHC,Revenue Cycle - Insurance Financial Intake Verification Specialist - - MD,Frederick,MD,mba_finance,2
c0640,ru_LL,Lumber Liquidators,Analyst - Store Operations - Toano/ - VA,Richmond,VA,mba_analyst,2
c0641,ru_LMAT,Lemaitre Vascular,Consolidation Manager - Finance,Burlington,MA,mba_finance,2
c0642,ru_LMNX,Luminex,Development & Applications Scientist - US,Austin,TX,data_science,2
c0643,ru_LNN,Lindsay,Development and Marketing Project Manager,Walnut Creek,CA,mba,2
c0644,ru_LNTH,Lantheus,Finance Manager,North Billerica,MA,mba_finance,2
c0645,ru_LRN,K12,Private Pay Sr Manager - Business Analytics,Herndon,VA,mba_finance,2
c0646,ru_LULU,Lululemon Athletica,Senior Project Manager,Seattle,WA,mba,2
c0647,ru_LW,Lamb Weston,Sr Project Manager,Eagle,ID,mba,2
c0648,ru_MATW,Matthews,Sr Software Engineer,Cincinnati,OH,computer_science,2
c0649,ru_MBII,Marrone Bio Innovations,Associate Research Scientist - Bioprocess Technology,Davis,CA,data_science,2
c0650,ru_MBIN,Merchants Bank,Business Intelligence Analyst,Daleville,IN,mba_finance,2
c0651,ru_MCS,Marcus,Assistant Research Specialist,Cleveland,OH,data_science,2
c0652,ru_MDCO,Medicines,Senior Research Associate,Cambridge,MA,data_science,2
c0653,ru_MDP,Meredith,Data Engineer,Los Angeles,CA,data_science,2
c0654,ru_MED,Medifast,FP&A Analyst,Baltimore,MD,mba_finance,2
c0655,ru_MGI,Moneygram,Senior Software Engineer,Saint Louis Park,MN,computer_science,2
c0656,ru_MLR,Miller Industries,Project Manager,Fenton,MI,mba,2
c0657,ru_MOD,Modine Manufacturing,Product Cost Analyst,Racine,WI,mba_finance,2
c0658,ru_MOS,Mosaic Company,Senior Sourcing Analyst,Lithia,FL,mba_finance,2
c0659,ru_MRCY,Mercury Systems,Software Engineer,Oxnard,CA,computer_science,2
c0660,ru_MSG,Madison Square Garden,Senior Program Manager,San Francisco,CA,mba,2
c0661,ru_MSL,Midsouth Bank,Commercial Credit Analyst,Lafayette,LA,mba_finance,2
c0662,ru_MTCH,Match,Clinical Research Associate I,Minneapolis,MN,data_science,2
c0663,ru_MTN,Vail Resorts,Senior Analyst Corporate FP&A,Broomfield,CO,mba_finance,2
c0664,ru_MTRN,Materion,Sourcing Analyst - Procurement,Mayfield Heights,OH,mba_analyst,2
c0665,ru_MTSC,Mts Systems,Sr Software Engineer,Eden Prairie,MN,computer_science,2
c0666,ru_MYL,Mylan,Logistics Analyst,Greensboro,NC,mba_finance,2
c0667,ru_MYRG,MYR,Project Manager,Chino,CA,mba,2
c0668,ru_NANO,Nanometrics,Senior Software Engineer,Bend,OR,computer_science,2
c0669,ru_NBIX,Neurocrine Biosciences,IT Systems Analyst,San Diego,CA,mba_finance,2
c0670,ru_NCLH,Norwegian Cruise Line,Project Manager IT Newbuild & Dry Dock,Miami,FL,mba,2
c0671,ru_NE,Noble,Investor Relations Analyst,Houston,TX,mba_finance,2
c0672,ru_NEO,Neogenomics,Variant Scientist,Fort Myers,FL,data_science,2
c0673,ru_NGVT,Ingevity,Sourcing Analyst - Wood Procurement,Wickliffe,KY,mba_analyst,2
c0674,ru_NLS,Nautilus,Senior Software Engineer/Technical Lead,Irving,TX,computer_science,2
c0675,ru_NMRK,Newmark,Project Manager,East Hartford,CT,mba,2
c0676,ru_NNI,Nelnet,IT Software Engineer - NET,Lincoln,NE,computer_science,2
c0677,ru_NUVA,Nuvasive,Sr Associate Product Manager - TL Fixation,San Diego,CA,mba,2
c0678,ru_NVTA,Invitae,Clinical Laboratory Scientist,San Francisco,CA,data_science,2
c0679,ru_NWE,Northwestern,Associate Data Engineer,Milwaukee,WI,data_science,2
c0680,ru_NWPX,Northwest Pipe,Project Manager,Saginaw,TX,mba,2
c0681,ru_NWY,New York & Company,Compensation Analyst,New York,NY,mba_finance,2
c0682,ru_NXPI,Nxp Semiconductors,Director - Program Management,San Jose,CA,mba,2
c0683,ru_O,Realty Income,Investment Analyst Rotation Program,San Diego,CA,mba_finance,2
c0684,ru_OCN,Ocwen Financial,Analyst - Tax Services,Mount Laurel,NJ,mba_finance,2
c0685,ru_OPTN,Optinose,Director - Information Technology - Finance & Tech Operations,Yardley,PA,mba_finance,2
c0686,ru_ORN,Orion,Project Manager,Chicago,IL,mba,2
c0687,ru_OTTR,Otter Tail,Financial Reporting Analyst,Fergus Falls,MN,mba_finance,2
c0688,ru_PBPB,Potbelly,Senior Director - Finance,Chicago,IL,mba_finance,2
c0689,ru_PEBO,Peoples Bank,Loan Portfolio Business Analyst,Marietta,OH,mba_analyst,2
c0690,ru_PFSW,Pfsweb,Email Marketing Senior Analyst,Allen,TX,mba_analyst,2
c0691,ru_PGRE,Paramount,Financial Analyst,Memphis,TN,mba_finance,2
c0692,ru_PINC,Premier,Software Developer,Knoxville,TN,computer_science,2
c0693,ru_PKG,Packaging Corporation of America,Sr Audit Analyst,Lake Forest,IL,mba_analyst,2
c0694,ru_PLNT,Planet Fitness,Business Analyst,Salem,NH,mba_finance,2
c0695,ru_PNC,Pnc Financial,Software Developer,Pittsburgh,PA,computer_science,2
c0696,ru_PODD,Insulet,iOS Software Developer,San Diego,CA,computer_science,2
c0697,ru_PQG,PQ,North American Finance Manager,Malvern,PA,mba_finance,2
c0698,ru_PRAA,PRA,Software Engineer,Richmond,VA,computer_science,2
c0699,ru_PRGO,Perrigo,Sr Financial Analyst,Allegan,MI,mba_finance,2
c0700,ru_PRIM,Primoris,Finance Director - Transmission and Substation,McKinney,TX,mba_finance,2
c0701,ru_QDEL,Quidel,Senior Scientist,San Diego,CA,data_science,2
c0702,ru_QES,Quintana Energy Services,District Financial Accountant,Odessa,TX,mba_finance,2
c0703,ru_QHC,Quorum Health,Supply Chain Financial Analyst,Brentwood,TN,mba_finance,2
c0704,ru_QSII,Quality Systems,Business Systems Analyst - Investments,Minneapolis-Saint Paul,MN,mba_finance,2
c0705,ru_QTRX,Quanterix,Clinical Research Associate - Lab Services,Billerica,MA,data_science,2
c0706,ru_RARX,Ra Pharmaceuticals,Associate Director - Program Management,Cambridge,MA,mba,2
c0707,ru_RCKT,Rocket Pharmaceuticals,Senior Scientist - Nonclinical/Preclinical,New York,NY,data_science,2
