cid,list_id,company,position,office,office_state,job_type
c190,nasdaq_KFRC,Kforce,Java/J2EE Software Developer,Phoenix,AZ,computer_science
c191,f1000_149,Kohls,Software Engineer,Milpitas,CA,computer_science
c192,nasdaq_KFY,Korn Ferry,Senior Storage Systems Software Engineer,San Jose,CA,computer_science
c193,f1000_17,Kroger,Software Engineering Manager,Cincinnati,OH,computer_science
c194,f1000_303,LKQ,Software Engineer,Nashville,TN,computer_science
c195,f1000_583,LPL Financial,Associate Java Developer,San Diego,CA,computer_science
c196,nasdaq_LTRX,Lantronix,Principal Cloud Software Engineer,Irvine,CA,computer_science
c197,ru_TREE,Lendingtree,Sr Software Engineer,Charlotte,NC,computer_science
c198,f1000_626,Lennox,Sr Embedded Software Engineer,Carrollton,TX,computer_science
c199,f1000_867,Lincoln Electric,Embedded Software Engineer,Cleveland,OH,computer_science
c200,forbes_33,Looker,Senior Front-End Engineer - Application Framework,San Francisco Bay Area,CA,computer_science
c201,forbes_43,Lookout,Senior Frontend Software Engineer,San Francisco,CA,computer_science
c202,ru_LOW,Lowes,Software Engineer,Mooresville,NC,computer_science
c203,ru_LULU,Lululemon Athletica,Senior Software Engineer,Seattle,WA,computer_science
c204,ru_LL,Lumber Liquidators,Web Developer - JAVA - -- - Virginia,Richmond,VA,computer_science
c205,f1000_454,M&T Bank,Software Engineer I,Buffalo,NY,computer_science
c206,f1000_296,MGM Resorts,Principal Software Engineer,Las Vegas,NV,computer_science
c207,f1000_525,Magellan Health,Senior Software Engineer,Glen Allen,VA,computer_science
c208,forbes_10,Mailchimp,Software Engineer - Data Systems,Brooklyn,NY,computer_science
c209,nasdaq_MANH,Manhattan Associates,Software Engineer - R&D,Atlanta,GA,computer_science
c210,ru_MANT,Mantech,Software Engineer,Quantico,VA,computer_science
c211,ru_MCS,Marcus,Cloud Engineer/Full Stack Developer,Irving,TX,computer_science
c212,f1000_459,Markel,Software Engineer,Richmond,VA,computer_science
c213,f1000_162,Marriott,Senior Software Engineer,Bethesda,MD,computer_science
c214,f1000_993,Marriott Vacations Worldwide,Web Developer,Orlando,FL,computer_science
c215,ru_MATW,Matthews,Software Engineer,Pittsburgh,PA,computer_science
c216,f1000_831,Maximus,Sr Java Developer,Farmers Branch,TX,computer_science
c217,f1000_761,Medical Mutual of Ohio,Software Developer III,Strongsville,OH,computer_science
c218,nasdaq_MDSO,Medidata Solutions,Senior Software Engineer,New York,NY,computer_science
c219,ru_MRCY,Mercury Systems,Software Engineer,Oxnard,CA,computer_science
