list_id,company,raw_company,rank,source,job_type
nasdaq_KELYA,Kelly Services,"Kelly Services, Inc.",342.0,nasdaq_tech,data_science_b
nasdaq_KFRC,Kforce,"Kforce, Inc.",343.0,nasdaq_tech,data_science_b
nasdaq_BILI,Bilibili,Bilibili Inc.,344.0,nasdaq_tech,data_science_b
nasdaq_JT,Jianpu Technology,Jianpu Technology Inc.,345.0,nasdaq_tech,data_science_b
nasdaq_SFUN,Fang Holdings Limited,Fang Holdings Limited,346.0,nasdaq_tech,data_science_b
nasdaq_CTK,CooTek,CooTek (Cayman) Inc.,347.0,nasdaq_tech,data_science_b
nasdaq_QADA,QAD,QAD Inc.,348.0,nasdaq_tech,data_science_b
nasdaq_BAND,Bandwidth,Bandwidth Inc.,349.0,nasdaq_tech,data_science_b
nasdaq_HSTM,HealthStream,"HealthStream, Inc.",350.0,nasdaq_tech,data_science_b
nasdaq_PRFT,Perficient,"Perficient, Inc.",351.0,nasdaq_tech,data_science_b
nasdaq_SPWR,SunPower Corporation,SunPower Corporation,352.0,nasdaq_tech,data_science_b
nasdaq_EXTR,Extreme Networks,"Extreme Networks, Inc.",353.0,nasdaq_tech,data_science_b
nasdaq_SOHU,Sohu.com Limited,Sohu.com Limited ,354.0,nasdaq_tech,data_science_b
nasdaq_EXTN,Exterran Corporation,Exterran Corporation,355.0,nasdaq_tech,data_science_b
nasdaq_PLAB,Photronics,"Photronics, Inc.",356.0,nasdaq_tech,data_science_b
nasdaq_TGH,Textainer Group Holdings Limited,Textainer Group Holdings Limited,357.0,nasdaq_tech,data_science_b
nasdaq_TCX,Tucows,Tucows Inc.,358.0,nasdaq_tech,data_science_b
nasdaq_TYPE,Monotype Imaging Holdings,Monotype Imaging Holdings Inc.,359.0,nasdaq_tech,data_science_b
nasdaq_UIS,Unisys Corporation,Unisys Corporation,360.0,nasdaq_tech,data_science_b
nasdaq_LASR,nLIGHT,"nLIGHT, Inc.",361.0,nasdaq_tech,data_science_b
nasdaq_HSII,Heidrick & Struggles International,"Heidrick & Struggles International, Inc.",362.0,nasdaq_tech,data_science_b
nasdaq_UPLD,Upland Software,"Upland Software, Inc.",363.0,nasdaq_tech,data_science_b
nasdaq_HMI,Huami Corporation,Huami Corporation,364.0,nasdaq_tech,data_science_b
nasdaq_ENPH,Enphase Energy,"Enphase Energy, Inc.",365.0,nasdaq_tech,data_science_b
