cid,list_id,company,position,office,office_state,job_type,list_rank,source,file_rank
c0150,f1000_107,Avnet,Sr Program Manager - Supplier Marketing,Phoenix,AZ,mba,108.0,fortune1000,2
c0151,f1000_108,Mondelez,Senior Scientist I - Data Science,East Hanover,NJ,data_science,109.0,fortune1000,2
c0152,f1000_109,Macy's,Data Scientist,New York,NY,data_science,110.0,fortune1000,2
c0153,f1000_11,Amazon,Data Scientist,Seattle,WA,data_science,12.0,fortune1000,2
c0154,f1000_110,AbbVie,Data Science Program Lead,Lake County,IL,data_science,111.0,fortune1000,2
c0155,f1000_113,Northrop Grumman,Software Engineer,Redondo Beach,CA,computer_science,114.0,fortune1000,2
c0156,f1000_115,Raytheon,Data Scientist,Dulles,VA,data_science,116.0,fortune1000,2
c0157,f1000_117,Arrow Electronics,Web Engineer 1,Cambridge,MA,computer_science,118.0,fortune1000,2
c0158,f1000_118,Qualcomm,Compiler Engineer Machine Learning,Austin,TX,data_science,119.0,fortune1000,2
c0159,f1000_119,Progressive,Senior Manager - Data Science,Mayfield Heights,OH,data_science,120.0,fortune1000,2
c0160,f1000_12,General Electric,Data Scientist,Hoffman Estates,IL,data_science,13.0,fortune1000,2
c0161,f1000_121,Enterprise Products,Specialist - Lead Data Science,Houston,TX,data_science,122.0,fortune1000,2
c0162,f1000_122,Amgen,Core Data Scientist,Thousand Oaks,CA,data_science,123.0,fortune1000,2
c0163,f1000_123,US Foods,FSQA Supplier Program Manager,Chicago,IL,mba,124.0,fortune1000,2
c0164,f1000_124,U.S. Bank,Data Science Engineer,Richfield,MN,data_science,125.0,fortune1000,2
c0165,f1000_126,Sears,Software Engineer III,Hoffman Estates,IL,computer_science,127.0,fortune1000,2
c0166,f1000_127,Dollar General,Software Engineer Ii,Goodlettsville,TN,computer_science,128.0,fortune1000,2
c0167,f1000_13,Verizon,Senior Data Scientist,Branchburg,NJ,data_science,14.0,fortune1000,2
c0168,f1000_130,Starbucks,Lead Data Scientist - Data & Measurement Sciences,Seattle,WA,data_science,131.0,fortune1000,2
c0169,f1000_131,Eli Lilly,Scientist-GO Laboratory,Fort Dodge,IA,data_science,132.0,fortune1000,2
c0170,f1000_135,Dollar Tree,Associate Product Manager - Hardware/Pet,Chesapeake,VA,mba,136.0,fortune1000,2
c0171,f1000_136,Whirlpool,Human Resources Operations Project Manager,Benton Harbor,MI,mba,137.0,fortune1000,2
c0172,f1000_137,Southwest Airlines,Sr Software Engineer,Dallas,TX,computer_science,138.0,fortune1000,2
c0173,f1000_139,Staples,Senior Data Scientist,Seattle,WA,data_science,140.0,fortune1000,2
c0174,f1000_14,Cardinal Health,Product Development Scientist,Hazelwood,MO,data_science,15.0,fortune1000,2
c0175,f1000_143,Danaher,Senior QC Scientist,Fremont,CA,data_science,144.0,fortune1000,2
c0177,f1000_146,Bristol-Myers Squibb,US Medical Scientist,Princeton,NJ,data_science,147.0,fortune1000,2
c0178,f1000_148,Fluor,Environmental Engineer/Scientist II,Idaho Falls,ID,data_science,149.0,fortune1000,2
c0179,f1000_149,Kohl's,Software Engineer,Milpitas,CA,computer_science,150.0,fortune1000,2
c0180,f1000_15,Costco,Software Developer,Issaquah,WA,computer_science,16.0,fortune1000,2
c0181,f1000_152,The Hartford,Project Manager - Data Science,Hartford,CT,data_science,153.0,fortune1000,2
c0182,f1000_153,Thermo Fisher Scientific,Data Scientist,Durham,NC,data_science,154.0,fortune1000,2
c0183,f1000_154,Kimberly-Clark,Senior Director - Marketing Research Innovation,Chicago,IL,data_science,155.0,fortune1000,2
c0184,f1000_155,Molina Healthcare,Analyst - Hedis/ Quality Reporting-BI and ETL Developer,Long Beach,CA,computer_science,156.0,fortune1000,2
c0185,f1000_156,Pacific Gas and Electric Company,Associate Project Manager - Escpp,San Luis Obispo,CA,mba,157.0,fortune1000,2
c0186,f1000_158,Cummins,Senior Software Engineer,Columbus,IN,computer_science,159.0,fortune1000,2
c0187,f1000_159,CenturyLink,Sr DevOps Engineer - Machine Learning,Phoenix,AZ,data_science,160.0,fortune1000,2
c0188,f1000_16,Walgreens,Software Engineer II,Deerfield,IL,computer_science,17.0,fortune1000,2
c0189,f1000_160,Aecom,Entry Level Data Scientist,New York,NY,data_science,161.0,fortune1000,2
c0190,f1000_161,Xerox,Channel Business Manager,Dallas,TX,mba,162.0,fortune1000,2
c0191,f1000_162,Marriott,Senior Software Engineer,Bethesda,MD,computer_science,163.0,fortune1000,2
c0192,f1000_163,Paccar,Data Scientist,Renton,WA,data_science,164.0,fortune1000,2
c0193,f1000_164,General Mills,Sensory Scientist,Minneapolis,MN,data_science,165.0,fortune1000,2
c0194,f1000_165,PNC Financial Services Group,Data Scientist,Pittsburgh,PA,data_science,166.0,fortune1000,2
c0195,f1000_169,NextEra Energy,Enterprise Data Engineering Lead,Jupiter,FL,data_science,170.0,fortune1000,2
c0196,f1000_17,Kroger,Software Engineering Manager,Cincinnati,OH,computer_science,18.0,fortune1000,2
c0197,f1000_172,Halliburton,Geoscientist I,Houston,TX,data_science,173.0,fortune1000,2
c0198,f1000_173,CarMax,Technology Manager - Data Science and Machine Learning,Richmond,VA,data_science,174.0,fortune1000,2
c0199,f1000_175,Whole Foods Market,Sr Data Engineer,Austin,TX,data_science,176.0,fortune1000,2
c0200,f1000_176,BNY Mellon,Lead Java Developer,Jersey City,NJ,computer_science,177.0,fortune1000,2
c0201,f1000_177,GAP,Senior SAR Image Scientist,Quantico,VA,data_science,178.0,fortune1000,2
c0202,f1000_178,Omnicom Group,Senior Project Manager,Chicago,IL,mba,179.0,fortune1000,2
c0203,f1000_18,Chevron,Product Development Scientist/Engineer,Richmond,CA,data_science,19.0,fortune1000,2
c0204,f1000_180,DaVita,Full-stack Developer,Denver,CO,computer_science,181.0,fortune1000,2
c0205,f1000_181,Colgate-Palmolive,Data Scientist,Piscataway,NJ,data_science,182.0,fortune1000,2
c0206,f1000_183,Goodyear,Data Scientist,Akron,OH,data_science,184.0,fortune1000,2
c0207,f1000_185,DISH Network,Data Scientist/Analyst,American Fork,UT,data_science,186.0,fortune1000,2
c0208,f1000_186,Visa,Senior Staff SW Engineer - Data Science MAP PD,Foster City,CA,data_science,187.0,fortune1000,2
c0209,f1000_187,Nordstrom,Data Scientist - Operations Research,Seattle,WA,data_science,188.0,fortune1000,2
c0210,f1000_188,INTL FCStone,Full-Stack Web/Mobile Engineer,Winter Park,FL,computer_science,189.0,fortune1000,2
c0211,f1000_189,WestRock,Senior Data Scientist,Atlanta,GA,data_science,190.0,fortune1000,2
c0212,f1000_19,Fannie Mae,Software Engineer I,Herndon,VA,computer_science,20.0,fortune1000,2
c0213,f1000_190,XPO Logistics,Data Scientist,Grand Blanc,MI,data_science,191.0,fortune1000,2
c0214,f1000_191,Aramark,Senior Full Stack Engineer - iBuyEfficient,Aliso Viejo,CA,computer_science,192.0,fortune1000,2
c0215,f1000_193,AES,Signals Software Engineer,Colorado Springs,CO,computer_science,194.0,fortune1000,2
c0216,f1000_195,FirstEnergy,IT SOC Data Engineer,Wadsworth,OH,data_science,196.0,fortune1000,2
c0217,f1000_196,Conagra Brands,Customer Business Manager,Kansas City,KS,mba,197.0,fortune1000,2
c0218,f1000_198,CDW,Program Manager - Events Strategy,Lincolnshire,IL,mba,199.0,fortune1000,2
c0219,f1000_199,Textron,Product Manager,Sterling,VA,mba,200.0,fortune1000,2
c0220,f1000_2,Apple,Data Science Engineer,Santa Clara Valley,CA,data_science,3.0,fortune1000,2
c0221,f1000_200,Waste Management,Data Scientist,Houston,TX,data_science,201.0,fortune1000,2
c0222,f1000_205,Texas Instruments,Software Engineer,Dallas,TX,computer_science,206.0,fortune1000,2
c0223,f1000_207,Newell Brands,Associate Manager - Data Scientist,Atlanta,GA,data_science,208.0,fortune1000,2
c0224,f1000_209,Marsh & McLennan,Commercial Lines Select Business Manager,Clearwater,FL,mba,210.0,fortune1000,2
c0225,f1000_21,Express Scripts,Net Software Engineer,St. Louis,MO,computer_science,22.0,fortune1000,2
