company,job_type_1,job_type_2,job_type_3,job_type_4,job_type_5,job_type_6,job_type_7,job_type_8
L Brands,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
JC Penney,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Farmers Insurance Exchange,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Reynolds American,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Vi,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Becton Dickinson,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Micron Technology,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Principal Financial,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Arconic,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
NRG Energy,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
VF,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Devon Energy,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
DR Horton,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Bed Bath & Beyond,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Consolidated Edison,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Edison,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Sherwin-Williams,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
NGL Energy Partners,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Dominion Energy,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Ameriprise Financial,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
ADP,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Hilton Worldwide,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
First Data,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Henry Schein,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Toys 'R' Us,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
BB&T,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Reinsurance of America,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Core-Mark Holding,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Biogen,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Las Vegas Sands,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Stanley Black & Decker,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Parker-Hannifin,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Stryker,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Estee Lauder,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Celgene,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
BlackRock,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Xcel Energy,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
CSX,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Unum,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Jacobs Engineering,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Lennar,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
1 Automotive,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Leucadia National,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Entergy,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
