cid,list_id,company,position,office,office_state,job_type
c83,f1000_51,Disney,HR Decision Scientist,Burbank,CA,stats
c84,f1000_51,Disney,Sr Retail Data Scientist,Kissimmee,FL,stats
c85,nasdaq_DOCU,DocuSign,Principal Data Scientist,Seattle,WA,stats
c86,f1000_135,Dollar Tree,REAL ESTATE ANALYST,Chesapeake,VA,stats
c87,bi_3,DoorDash,Senior Data Scientist - Analytics,San Francisco,CA,stats
c88,f1000_112,DuPont,Research Investigator,Parlin,NJ,stats
c89,vault_89,Duane Morris,Associate Attorney,Baltimore,MD,consultant
c90,vault_198,EY,Senior Data Scientist,Cambridge,MA,data_science
c91,nasdaq_ETN,Eaton,Equity Data Scientist,Boston,MA,stats
c92,f1000_844,Edgewell Personal Care,Associate Scientist - Product Research And Testing,Ormond Beach,FL,stats
c93,f1000_234,Edison,Data Scientist,San Jose,CA,stats
c94,glassdoor_135,Edward Jones,Senior Data Scientist,St. Louis,MO,stats
c95,f1000_733,Edwards Lifesciences,Biostatistician II Transcatheter Heart Valve,Irvine,CA,stats
c96,f1000_555,Electronic Arts,Data Scientist,Redwood City,CA,stats
c97,f1000_131,Eli Lilly,Consultant Statistician-Data Standards,Indianapolis,IN,stats
c98,nasdaq_EIGI,Endurance,Senior Data Scientist - Product,Waltham,MA,stats
c99,f1000_914,Engility,Data Scientist,Huntsville,AL,stats
c100,f1000_702,Equifax,Senior Statistical Consultant,Atlanta,GA,stats
c101,nasdaq_ERIC,Ericsson,Data Scientist,Plano,TX,stats
c102,f1000_88,Exelon,Sr Data Analytics Specialist,Oak Brook,IL,stats
c103,f1000_316,Expedia,Senior Data Scientist,Bellevue,WA,stats
c104,f1000_892,Express,Real Estate Analyst,Richmond,VA,stats
c105,f1000_21,Express Scripts,Sr UX Researcher,St. Louis,MO,stats
c106,f1000_3,ExxonMobil,Research Data Scientist,Houston,TX,stats
c107,f1000_556,FM Global,Sr Data Scientist-Predictive Analytics,Johnston,RI,stats
c108,f1000_994,FTI Consulting,Director - Reputation Data Scientist - - Strategic Communications,Washington,DC,stats
c109,f1000_97,Facebook,Research Scientist - Applied Statistics,Menlo Park,CA,stats
c110,cnbc_44,Fanatics,Lead/Principal Data Scientist,San Mateo,CA,stats
c111,f1000_57,FedEx,Sr Analyst-Operations Research,Harrison,AR,stats
c112,glassdoor_134,FedEx Freight,Sr Analyst-Operations Research,Harrison,AR,stats
c113,vault_78,Fenwick & West,Corporate M&A Associate,Mountain View,CA,consultant
