list_id,company,rank,source,job_type_1,job_type_2,job_type_3,job_type_4,job_type_5
f1000_668,Global Payments,669.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_677,American Water Works,678.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_679,Skyworks Solutions,680.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_681,Amerco,682.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_686,Universal Forest Products,687.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_688,Mercury General,689.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_693,Carter's,694.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_697,TransDigm,698.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_699,Puget Energy,700.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_704,IAC/InterActiveCorp,705.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_706,Allegheny Technologies,707.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_709,SkyWest,710.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_710,International Flavors & Fragrances,711.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_711,BMC Stock,712.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_714,KapStone Paper & Packaging,715.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_720,Monster Beverage,721.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_723,Univision Communications,724.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_727,Penn National Gaming,728.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_731,Triple-S Management,732.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_738,Insperity,739.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_741,Westinghouse Air Brake Technologies,742.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_746,Cracker Barrel Old Country Store,747.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_747,PriceSmart,748.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_748,Broadridge Financial Solutions,749.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_751,MSC Industrial Direct,752.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_760,Metaldyne Performance,761.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_763,Clean Harbors,764.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_764,Hovnanian Enterprises,765.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_765,TrueBlue,766.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_767,ServiceMaster Global,768.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_769,Mutual of America Life Insurance,770.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_774,PC Connection,775.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_775,A.O. Smith,776.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_777,Great Plains Energy,778.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_778,Bon-Ton Stores,779.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_779,Dycom Industries,780.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_784,Stifel Financial,785.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_791,Hyster-Yale Materials Handling,792.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_804,Crestwood Equity Partners,805.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_808,Vornado Realty Trust,809.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_809,Mettler-Toledo,810.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_810,A. Schulman,811.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_813,Chico's FAS,814.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_814,Domino's Pizza,815.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_819,Vectren,820.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_821,On Assignment,822.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_822,Southwestern Energy,823.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_825,J.Crew,826.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_833,Amica Mutual Insurance,834.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_836,Sprague Resources,837.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_838,Hawaiian Electric Industries,839.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_839,Pinnacle Entertainment,840.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_842,Komatsu Mining,843.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_847,WGL,848.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_848,GGP,849.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_849,Brocade Communications Systems,850.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_850,Akamai Technologies,851.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_851,Nationstar Mortgage,852.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_852,Annaly Capital Management,853.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_855,AptarGroup,856.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_862,Benchmark Electronics,863.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_865,Party City Holdco,866.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_870,Oceaneering,871.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_872,Middleby,873.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_877,Louisiana-Pacific,878.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_878,MPM,879.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_879,Knights of Columbus,880.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_880,Apollo Global Management,881.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_882,American Equity Investment Life,883.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_885,Tupperware Brands,886.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_887,Nu Skin Enterprises,888.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_888,Magellan Midstream Partners,889.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_890,Maxim Integrated Products,891.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_891,Affiliated Managers,892.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_899,Teledyne Technologies,900.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_900,Digital Realty Trust,901.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_901,RH,902.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_906,Cliffs Natural Resources,907.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_910,Apollo Education,911.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_912,H.B. Fuller,913.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_916,Bio-Rad Laboratories,917.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_918,Mueller Industries,919.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_919,Red Hat,920.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_921,Hospitality Properties Trust,922.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_924,Consol Energy,925.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_925,Ferrellgas Partners,926.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_928,99 Cents Only Stores,929.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_934,Stewart Information Services,935.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_937,Primoris Services,938.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_940,VeriFone Systems,941.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_941,Texas Roadhouse,942.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_942,NLV Financial,943.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_948,hhgregg,949.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_950,Griffon,951.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_952,Nuance Communications,953.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_961,Cal-Maine Foods,962.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_962,Alliance One,963.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_963,AMN Healthcare Services,964.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_971,Murphy Oil,972.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_973,Par Pacific,974.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_974,SL Green Realty,975.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_975,GMS,976.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_976,CoreCivic,977.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_984,Atlas Air Worldwide,985.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_986,Delta Tucker,987.0,fortune1000,data_science,stats,quant,mba,consultant
